text,category,product_name,order_id
السلام عليكم، اسعد الله اوقاتكم. اخواني الكرام، انا طلبت من عندكم ساعه ذكيه قبل اسبوعين تقريبا، وكان المفروض توصلني خلال ثلاث ايام حسب ما ذكرتوا في الموقع. للاسف الى الان ما وصلتني ولا استلمت اي رساله توضح سبب التأخير. انا ما عندي مشكله انتظر لو في سبب مقنع، بس المشكله انه ما في اي تواصل من طرفكم. هذا الشيء سبب لي احراج مع اهلي لاني وعدتهم فيها. اتمنى منكم الاهتمام بالعملاء وتحديثهم باي تأخير. شاكر لكم.,complaint,ساعة ذكية,2679
اهلا وسهلا اخوي، كيفك. بصراحه انا زعلان شوي وحبيت اكتب لكم. اشتريت ساعه ذكيه من متجركم، وكان مكتوب في الوصف انها مقاومه للماء وتصلح للسباحه. بس لما استخدمتها في المسبح مره وحده، دخلها الماء وتلفت. انا ما اتوقع هذا المستوى من الغش، خصوصا انكم متجر معروف. اتمنى ترجعون لي فلوسي او تبدلونها بوحده اصليه. وانا اسف اذا كلامي ضايقكم بس هذا اللي صار.,complaint,ساعة ذكية,2679
السلام عليكم، ساعه ذكيه شريتها منكم قبل اسبوع وتلفت بسرعه، وانا مهتم بالموضوع واتمنى تحلونها لي لاني اثق فيكم.,complaint,ساعة ذكية,2679
السلام عليكم ورحمة الله. ابني طلب لكم شنطة ظهر قبل اسبوعين وجتنا اليوم وهي مقطوعه من الجنب والسحاب خربان. حنا ناس نتعامل معاكم من زمان وما توقعنا هالشي يصير. ارجو منكم تنظرون بالموضوع والنظر بعين الاعتبار.,complaint,شنطة ظهر,9935
استغربت والله من اللي شفته. الشنطه وصلت والقماش حقها خفيف مره وما يستحمل شي، وعلى طول انقطع الحزام من اول استخدام. انا رجل كبير بالسن وما احب ازعج احد لكن الحق ينقال. هذي مو اول مره اطلب منكم وفي السابق كان الوضع افضل بكثير.,complaint,شنطة ظهر,9935
يا اخوان انا طلبت منكم طلبيه ودفعت فلوسها كامله، والى اليوم ما وصلت ولا احد رد علي. اتصلت وارسلت ولا حياة لمن تنادي. تعامل مثل هذا ما يرضي العميل ولا يرضي رب العالمين. اتمنى منكم تتجاوبون معي باقرب وقت.,complaint,شنطة ظهر,9935
المنتج اللي جاني ما هو اللي شفته بالصور ابداً. طلبت شنطة ظهر لولدي للدراسه، وجاتني نوعيه ثانيه ارخص وشكلها قديم وفيها خدوش ورى. انا مو قاعد اطلب شي غالي، قاعد اطلب بس الامانه. ارجو الاهتمام بالموضوع.,complaint,شنطة ظهر,9935
صراحة الخدمه عندكم تعبتنا. انتظرت الطلب ثلاث اسابيع وكل ما ارسل احد يقول لي انتظر شوي، وفي الاخير جاني الشئ ناقص. حنا ناس نحترم ونحب التعامل الطيب، لكن هذي المعامله ما تناسب سمعة متجر كبير مثلكم. ارجو مراجعة الامر وابلاغي بالنتيجه.,complaint,شنطة ظهر,9935
وش هالحاله!! الطاوله وصلت مكسوره من الطرف والكرتون مهري!! وين الرقابه عندكم!! حسبي الله ونعم الوكيل,complaint,طاولة قهوة,7912
يا جماعه انا مستعجل والطاوله متاخره علي اسبوعين!! اتصلت عليكم اكثر من مره محد يرد!! هذا مو تعامل ابد,complaint,طاولة قهوة,7912
الطاوله الي جتني لونها غير!! طلبت بيج وجاني بني غامق!! وش السالفه يعني مافي احد يراجع الطلبات!!,complaint,طاولة قهوة,7912
صراحه شي يقهر... انتظرت الطاوله شهر كامل وفي الاخير تجي مكسوره والرجل مهزوزه!! دفعت مبلغ وقدره عشان كذا!! ابي حل اليوم قبل باجر ماينفع كذا والله,complaint,طاولة قهوة,7912
خدمتكم زفت!! ركبت الطاوله وهي ترجف وتتحرك مو ثابته ابد!! ابي ارجعها وترجعون فلوسي بسرعه مو فاضي لكم,complaint,طاولة قهوة,7912
السماعه وصلت مكسوره!! العلبه مهشره من جنب والسماعه اليسار ماتشتغل ابد!! هذا استهزاء مو خدمه!!,complaint,سماعة بلوتوث,2535
صرلي عشر ايام انتظر الطلب ولا واحد كلف نفسه يرد علي!! كل مادخلت الموقع يقولون جاري التجهيز!! وينها السماعه البلوتوث؟؟ ابي جواب اليوم قبل بكرا,complaint,سماعة بلوتوث,2535
الموظف اللي رد علي بالشات كلمني باسلوب وقح!! انا عميل مو متسول عندكم!! حسبي الله ونعم الوكيل على هالتعامل,complaint,سماعة بلوتوث,2535
السماعه خربت بعد يومين بس من الاستخدام!! الصوت يقطع والبصه تشحن ساعه عشان تفتح!! منتج تعبان وانا دفعت فيه فلوس,complaint,سماعة بلوتوث,2535
"هذي ثالث مره اطلب منكم ونفس المشكله بالضبط
تأخير واهمال وتعامل ولا شي
تعبتوني والله وانا ماعندي وقت لهالحركات",complaint,سماعة بلوتوث,2535
السلام عليكم ورحمة الله، اخوكم اكتب لكم بخصوص الجوال السامسونج اللي طلبته من عندكم قبل اسبوعين تقريبا، وصلني امس والصراحه انصدمت لمن فتحت الكرتون، الشاشه فيها خط اسود طويل من فوق وشق صغير فالزاويه كأنه مطقوق، والكرتون نفسه كان مضغوط وشكله منقلب فوق تحت. انا ما استخدمته ولا شغّلته حتى، فاتمنى منكم تشوفون لي حل لان المبلغ اللي دفعته مو بسيط بالنسبه لي.,complaint,جوال سامسونج,9279
مساء الخير، حاب اوضح لكم موضوع بخصوص تجربتي مع خدمة التوصيل عندكم. طلبي المفروض يوصل خلال ثلاث ايام زي ماهو مكتوب فالمتجر، بس والله انطرت تسع ايام كامله وانا اراسل خدمة العملاء ومحد يرد علي ويقولون لي انتظر شوي وبس. وفي الاخير وصلني الجوال وانا فال دوام وما اتصلوا فيني قبل يجون، واتمنى تنتبهون لهذي النقطه لانها تعبتني صراحه.,complaint,جوال سامسونج,9279
اهلا اخواني، معكم عميل لكم من فتره وكل طلباتي من عندكم، بس هذي المره صار شي ضايقني كثير. الجوال السامسونج اللي وصلني البطاريه حقتها غريبه، تفضى بسرعه جدا خلال ساعتين تقريبا والجهاز كله حار وهو ماسويت فيه شي غير واتساب. جربت اكثر من شاحن وتقريبا نفس النتيجه. ياليت توضحون لي اذا كان فيه امكانيه استبدال او اصلاح، وانا اقدر ارسل لكم مقطع يوضح المشكله.,complaint,جوال سامسونج,9279
السلام عليكم، اتمنى تكونون بخير. ابغى اخبركم ان الكرتون وصلني بدون الكفر الاصلي ولا الشاحن السريع اللي كانو مكتوبين فالعرض، لقيت بس الجوال والكيبل. انا دافع مبلغ اضافي عشان الحزمه كامله، والصراحه ما توقعت يصير كذا من متجر معروف زيكم. ماتضايقت الا عشان الثقه اللي كانت عندي فيكم، واتمنى تردون علي باقرب وقت لان لسه محتاج الجوال.,complaint,جوال سامسونج,9279
هلا بكم، اول شي احب اشكركم على اسلوبكم اللي كان حلو معي فالبدايه، لكن بصراحه صرت محتار الان. راسلتكم قبل خمس ايام عن مشكله فالجوال وهي الصوت ما يطلع من السماعه وقت المكالمات، والمفروض اني استلم رد خلال ٢٤ ساعه، ولحد الحين ما وصلني غير رساله تلقائيه تقول لي انتظر. انا مابي ازعجكم بس حاب اعرف وش الوضع معي بالضبط.,complaint,جوال سامسونج,9279
والله يا اخوي انا زبطت order سماعه بلوتوث قبل اسبوعين ولسا ما وصلني شي، كل ما اسأل يقولون بعد شوي بعد شوي، هذا مو delivery هذا تمطيط,complaint,سماعة بلوتوث,4257
ياخي شوفلي شي، السماعه البلوتوث وصلتني والكرتون مهروس والسماعه نفسها فيها خدوش واضحه، شكلها مستعمله او مرجعه، انا دفعت فلوس عشان اخذ شي يكسر الخاطر؟,complaint,سماعة بلوتوث,4257
صراحه تجربتي معكم سيئه جدا، الorder تاخر ١٠ ايام والdelivery تعبان ما احد كلف نفسه يتصل، ولما وصلت السماعه الصوت فيها يقطع ويطلع ازيز، مو معقول هذي خدمه,complaint,سماعة بلوتوث,4257
السلام عليكم، ابغى اشتكي بس والله ماني عارف من وين ابدا. السماعه البلوتوث شغلت اسبوع وبعدها خربت، البطاريه ما تشحن، وخدمة العملاء كل واحد يقول كلام غير الثاني، شي يحطم,complaint,سماعة بلوتوث,4257
ليش كذا؟ طلبت سماعه بلوتوث هديه لأخوي وما وصلت الا بعد العيد، والdelivery جابها متأخر والسماعه مطقوقه من الجنب، صراحه شي يقهر وما اتوقع اكرر الorder معكم,complaint,سماعة بلوتوث,4257
السلام عليكم ورحمة الله وبركاته، اخي الكريم انا عميل عندكم من سنوات طويله وماقد صار لي كذا. طلبت حذاء رياضي وجاني مخيط من الجنب ومنتفع من قدام كأنه مستعمل مو جديد، وانا دافع فلوسي كامله وماقصرت. والله اني انقهرت يوم فتحت الكرتون. ارجو منكم تنظرون في امري وجزاكم الله الف خير,complaint,حذاء رياضي,9928
بعد التحية والسلام، صراحه انا رجل كبير في السن وماعرف في هالامور الالكترونيه كثير، لكن اللي صار معي مايصلح ابدا. اتصلت على خدمة العملاء ثلاث مرات وكل واحد يحولني على الثاني ولا احد رد علي ولا عبرني. هذا مو تعامل يرضي الله، حرام عليكم تتعبون الناس كذا,complaint,حذاء رياضي,9928
طلبي متأخر له شهر كامل وانا انتظر كل يوم، وكل ماسالت قالوا بكره وبعده بكره. والله تعبت من الانتظار وانكسر خاطري,complaint,حذاء رياضي,9928
المفروض الحذاء الرياضي يجيني مقاس ٤٤ وجاني ٤٢ ضيق مادخل رجلي، وحتى الرساله ماسويت وانتم ساكتين. هذا مو بيع هذا نصب على الناس. ابي حقي كامل والا بضطر اشتكي على الجهات المختصه,complaint,حذاء رياضي,9928
يا اخوان والله اني زبون قديم عندكم واعرفكم من زمان واثق فيكم، لكن اخر طلبيه جاني فيها الحذاء مقطوع والخياطه طايحه. رجعته مع المندوب ولا رجع لي ريال ولا حتى اتصلوا علي يعتذرون. هذا جزاء العميل اللي يحسن الظن فيكم؟ حسبي الله ونعم الوكيل,complaint,حذاء رياضي,9928
والله شي يقهر 😤 الجوال وصلني والكرتون مفتوح من فوق والشاشه فيها خط طولي واضح من اول تشغيل، مادفعت عشان استلم قطعه مكسوره 😡,complaint,جوال سامسونج,8359
طلبت منكم سامسونج جديد وقلتلكم ابي نفس اللون اللي بالصوره، وصلني لون ثاني غير تماماً 😑 والموظف بالشات يرد علي ببرود كانه مو شغله، خدمه سيئه صراحه,complaint,جوال سامسونج,8359
من اسبوعين وانا انتظر والطلب ماوصل 🤬 كل مادخلت اشيك الاوردر مكتوب قيد الشحن، هذا مو تأخير هذا استهبال! صار لي فتره ماخذت منكم شي والظاهر هذي آخر مره,complaint,جوال سامسونج,8359
الجوال سامسونج اللي وصلني يسخن بشكل غريب 🔥 ويطفي لحاله وهو مامداه اسبوع عندي، رجعت اشتكيت قالوا لي روح لمركز الصيانه، يعني انا اللي ادور حل لمشكلتكم؟,complaint,جوال سامسونج,8359
التغليف كان تعبان مره 📦 الكرتون مهروس من الزاويه والجوال فيه خدش على الظهر من اول مافتحته، صراحه توقعاتي كانت اعلى من كذا بمراحل 😞,complaint,جوال سامسونج,8359
السلام عليكم، وصلني اللابتوب ديل اليوم والصراحه انصدمت، الشاشه فيها خط اسود من الزاويه والشاحن بعد مو اصلي شكله رخيص. انا دافع مبلغ وقدره على الorder هذا وتطلع لي كذا؟ لازم احد يرد علي بسرعه,complaint,لابتوب ديل,1106
اخوي انا من ثلاث ايام احاول اتواصل معكم ولا احد يرد، الdelivery قال بيوصل الاربعا واختلف الكلام ثلاث مرات، وكل ما اتصل يقولون بنتابع ونرد عليك ومافي شي. والله تعبت وانا انتظر لابتوب ديل اللي طلبته لبنتي للدراسه,complaint,لابتوب ديل,1106
خدمتكم سيئه بمعنى الكلمه، ردودكم بطيئه والموظف يتكلم معك كانه متكرم عليك، انا مو طالب شي مستحيل بس ابغى اعرف وش صاير,complaint,لابتوب ديل,1106
اللابتوب وصل مكسر من جنب والكرتون كانه مرمي في الشارع، هذي مو اول مره تصير معي معكم صراحه,complaint,لابتوب ديل,1106
شوفوا يا جماعه، انا اطلب من عندكم من سنتين وعمري ما اشتكيت، بس هالمره الموضوع صار كثير. الorder متأخر اسبوعين عن الموعد، ولما وصل اخيرا لقيت الماوس ناقص واللابتوب ديل نفسه يسخن بسرعه ويطفي من حاله. راسلتكم عالواتساب والايميل ولا حياه لمن تنادي. يا ريت احد يشرح لي وش السالفه لاني محتاج الجهاز ضروري للشغل,complaint,لابتوب ديل,1106
"السلام عليكم ورحمة الله،
اخوي انا طلبت منكم شنطة ظهر قبل اسبوعين تقريبا، ووصلتني اليوم.
للاسف الشديد لقيتها فيها عيب مصنعي، السحاب مكسور من الجهه اليمنى، وكمان فيه خرم صغير في القماش من تحت.
انا والله مو زعلان بس انقهرت شوي لاني كنت محتاجها لسفرتي الاسبوع الجاي.
ياليت تشوفون لي حل، وانا متاكد انكم ما تقصرون.
شكرا لكم.",complaint,شنطة ظهر,7924
"مساء الخير اخواني،
انا عميل عندكم من فتره، وللاسف تجربتي مع خدمة العملاء كانت سيئه هالمره.
راسلتكم اكثر من مره على الواتساب وما احد رد علي، ولما رديتو كان الرد متاخر ويطنشك.
انا ما ابي شي بس حبيت اوصل لكم الملاحظه عشان تتطورون.
شكرا.",complaint,شنطة ظهر,7924
السلام عليكم، طلبي اتاخر اكثر من ١٠ ايام وانا محتاجه ضروري، ياليت تنتبهون للموضوع.,complaint,شنطة ظهر,7924
"هلا والله، كيف حالكم.
ابغى اعطيكم ملاحظه عن شنطة الظهر اللي شريتها منكم قبل شهر.
من اول اسبوع الاستخدام، الاحزمه بدت تتقطع والخياطه طلعت من اكثر من مكان.
انا ما استعملتها بشكل عنيف ولا شي، بس واضح ان الخامه مو قد كذا.
حبيت انبهكم بس، واتمنى تتقبلون ملاحظتي بصدر رحب.
شكرا لكم.",complaint,شنطة ظهر,7924
"صباح الخير اخوي،
انا طلبت منكم شنطة ظهر لونها اسود ومكتوب في الوصف انها مقاومه للماء.
لكن اللي وصلني لونها رمادي، وكمان لما جربت احط فيها ماي بسرعة تشربت من القماش.
انا مو عارف اذا صار خطا في الطلب ولا ايش، بس حبيت اوريكم المشكله.
المهم انا محتاج الشنطه ضروري، فممكن تساعدوني في اقرب وقت.
شكرا لتعاونكم.",complaint,شنطة ظهر,7924
اللابتوب وصل مكسر من عند الشاشه والكرتون كان مفتوح,complaint,لابتوب ديل,3547
خدمتكم زفت وانا مو دافع فلوس عشان اتذل كذا,complaint,لابتوب ديل,3547
تأخير اسبوعين ولا احد رد علي والابتوب ديل للحين ماوصل,complaint,لابتوب ديل,3547
وصلني جهاز تعبان يطفي من نفسه كل شوي,complaint,لابتوب ديل,3547
طلبت لابتوب ديل وجاني شي ثاني غير اللي بالصوره,complaint,لابتوب ديل,3547
السلام عليكم اخوي، ارجو انك بخير. حبيت اوضح لك موضوع بخصوص النظاره الشمسيه اللي طلبتها من عندكم الاسبوع اللي فات، وصلتني امس المغرب وانا كنت متحمس لها مره. بس للأسف لما فتحت الكرتون لقيت العدسه اليمنى فيها خدش واضح من فوق لتحت، والاطار نفسه عليه اثر استخدام وبصمات مو طبيعيه ابدا. انا ما ابغى اظلم احد يمكن صار غلط بالترتيب، بس صراحه انا محتاجها لسفره قريبه وحاجز عليها. ياليت تشوفون لي حل وانا اسف عالاطاله وشكرا لكم.,complaint,نظارة شمسية,6514
مساء الخير جميعاً، ما ابغى اكون ثقيل عليكم بس حبيت اوريكم اللي صار معي. طلبيتي المفروض توصل قبل اربع ايام، وللحين الرقم اللي عطيتوني اياه ما يتحرك ابد، كل ما ادخل يطلع لي نفس الكلام ان الشحنه بالمستودع. راسلتكم عالوتساب مرتين وما جاوبني احد، واتصلت على الرقم الموحد وانا انتظر عشر دقايق بالدور. اتوقع انا مو مضطر اشرح ليش انا محتاج الطلب بوقته، بس حبيت اوصل لكم الصوره كامله لان الشكل هذا ما يريح. اتمنى يكون فيه متابعه جديه وشكراً لتفهمكم.,complaint,نظارة شمسية,6514
هلا والله، كيف حالكم. اعرف انكم شركة كبيره ومعروفه وانا من عملائكم من فتره طويله وتعاملي معكم دايم كان ممتاز، عشان كذا انصدمت هالمره. طلبت منكم نظاره شمسيه لون اسود، وجاني لون بني! والمشكله الثانيه ان الكيس حق النظاره مو موجود بالكرتون اصلا. انا مو زعلان عاللون بقدر ما اني مستغرب كيف يصير هالخلل وانتو شركه كبيره. كتبت لكم ملاحظه بالطلب ان الهديه لازم توصل قبل عيد زوجتي وهذا شي يهمني كثير. اتمنى تتواصلون معي بأسرع وقت ونسوي حل يرضي الطرفين، وانا مقدر تعبكم.,complaint,نظارة شمسية,6514
صباح النور، بصراحه ماني عارف من وين ابدأ. اتصلت عليكم الثلاثاء وتكلمت مع موظف خدمة العملاء، وما ابغى اذكر اسمه لان يمكن يكون يومه سئ، بس طريقته كانت غير مريحه ابدا. انا كنت اسأل عن طلبيتي بهدوء وهو يقاطعني ويتنرفز علي ولا مره اعتذر عن التأخير. احنا بشر ونغلط، بس اسلوب التعامل مع العميل شي ثاني. والغريب اني لي فتره اتعامل معكم وما قد صار لي موقف زي كذا. حبيت اوصل الملاحظه بكل صدق واحترام لاني ابغى لكم الخير ولا ابغى احد ثاني ينصدم بنفس الشي.,complaint,نظارة شمسية,6514
السلام عليكم ورحمة الله، اسف عالازعاج بس فيه موضوع مخليني منقهر ومحتاج افضّفضه معكم. طلبت نظاره شمسيه من عندكم ودفعت زياده عشان التغليف الممتاز، ويوم وصلني المندوب وفتحت الشنطه لقيت الكرتون مضغوط من الزاويه والنظاره نفسها مكسور القزاز عند المفصل. صورت كل شي وموجود عندي بالجوال اذا تبغون اشوفكم. انا ما ابغى اسوي مشكله ولا فضيحه عالسوشيال، كل اللي ابغى انكم تعوضوني بشكل معقول وخلاص. تعبت من الاتصالات والانتظار والصراحه هذا مو المستوى اللي توقعته منكم. لكم مني كل التقدير.,complaint,نظارة شمسية,6514
الشاحن السريع وصلني مكسور!!! من جدكم انتو؟ فلوسي راحت ع الفاضي,complaint,شاحن سريع,7224
ثلاث ايام انتظر والطلب ما وصل!! خدمه سيئه والله ما اتعامل معكم مره ثانيه,complaint,شاحن سريع,7224
ياخي هذا مو شاحن سريع هذا شاحن بطيء ياخذ ساعه عشان يشحن 10٪ !!! حسبي الله,complaint,شاحن سريع,7224
ابغى ارجع الطلب. المنتج تالف والصندوق مهروس. ردوا بسرعه لا اتصل ع هيئة حماية المستهلك,complaint,شاحن سريع,7224
اسوء تجربه صارت لي !! طلبت شاحن وصارلي اسبوع انتظر ولا احد يرد عليا ولا رساله ولا شي,complaint,شاحن سريع,7224
وصلني طقم المطبخ مكسور!! ثلاث قطع مكسره من الطرف!! هذا مو شغل ناس محترمه والله!!,complaint,طقم مطبخ,6635
خدمتكم سيئه!! اتصلت عشر مرات محد يرد!! طفشت والله طفشت!!,complaint,طقم مطبخ,6635
تأخير غير مبرر!! شهر كامل وانا انتظر!! اخر مره اطلب منكم صدق!!,complaint,طقم مطبخ,6635
الطقم الي جاني مو نفس الصوره ابد!! لون ثاني وحجم اصغر!! غش بعينه!!,complaint,طقم مطبخ,6635
ابي حل الحين مو بكره!! جلست اسبوع انتظر ومافي اي تجاوب!! زفت والله زفت!!,complaint,طقم مطبخ,6635
السلام عليكم، صراحه الـ order وصلني متأخر ١٠ ايام على غير المتوقع، ولما فتحت الكرتون لقيت اللابتوب ديل فيه خدش طويل عالشاشه والكرتون كان مفتوح من قبل، يعني الـ delivery جايبلي شي مستعمل مو جديد، هذا مو طبيعي ابدا,complaint,لابتوب ديل,1711
ياجماعه من جد حرام عليكم، دفعت فلوس وتعبت عليها واخذت لابتوب ديل من عندكم، والمشكله انه يطفي لحاله كل شوي ويسخن بشكل غريب، وديتوه لمحل يقولو المشكله من المذربورد نفسه، يعني ايش هذا الـ quality الي تبيعوه للناس,complaint,لابتوب ديل,1711
الخدمه عندكم سيئه بشكل مو معقول، انتظرت اسبوع كامل عشان يوصل الطلب ولا احد كلف نفسه يرد علي ولا رساله ولا اتصال، واخر شي يطلعون يقولون شركه الـ delivery الجديده هي المشكله، طيب انا مالي دخل، خلاص عن جد مابطلب منكم مره ثانيه,complaint,لابتوب ديل,1711
هلا، اسف عالازعاج بس لازم اقول الي صار معي، الجهاز الي ارسلتوه لي مو نفس الي طلبته ابدا، انا طلبت لابتوب ديل ١٥ انش وجاني مقاس ثاني ومواصفات مختلفه تماما، ومافي احد راضي يتحمل المسؤوليه، هذا غلط كبير والله,complaint,لابتوب ديل,1711
المنتج وصل بس الكرتون كان مهروس ومن داخل الشاشه مضروبه وفيها خط اسود عالجنب، حاولت اتواصل مع الدعم اكثر من مره ولا في فايده، كل واحد يحولني عالثاني وانا ادور راسي، صراحه اسوأ customer service مريت عليه بحياتي,complaint,لابتوب ديل,1711
السلام عليكم ورحمة الله. انا استلمت المكنسه الكهربائيه امس وهي جايه مكسوره من فوق والكيسه حقتها مقطوعه. انا رجل كبير بالسن وماعندي وقت اروح وارجع. هذا مو اول مره اتعامل معكم بس هذي المره خيبتو ظني. ابغى حل للموضوع.,complaint,مكنسة كهربائية,9785
يا اخوان انا طلبت منكم مكنسه كهربائيه قبل اسبوعين وكل مره اتصل عليكم محد يرد. الخدمه سيئه مره والله. انا كبير بالسن ومحتاجها للبيت. اذا ما تقدرون توصلون قولوا لي من الاول. هذا مو معقول.,complaint,مكنسة كهربائية,9785
المكنسه اللي شريتها من عندكم ما تشفط زين. انا استخدمتها مره وحده بس وتعبانه. حتى الغبار ما تشيله. انا اشتريت احسن منها من زمان بس هذي شكلها تقليد. حرام الواحد يدفع فلوس على شي ما يستفيد منه. رجعوا فلوسي.,complaint,مكنسة كهربائية,9785
السلام عليكم. انا من يوم طلبت المكنسه الكهربائيه وانا انتظر. قالوا لي بعد ثلاثة ايام وتأخرت اسبوع زياده. وكل ماجيت اسأل قالوا لي اصبر. انا رجال كبير وماعندي صبر على هذي الخرابيط. اذا ما جت اليوم ابغى الغي الطلب.,complaint,مكنسة كهربائية,9785
انا رجل كبير بالسن وما افهم في النت وايد. طلبت مكنسه كهربائيه وجتني نوع ثاني غير اللي شفته في الصوره. حتى اللون غير والمواصفات غير. هذا غش. انا ما ابي شي ثاني ابغى حقي. انتم مسؤولين.,complaint,مكنسة كهربائية,9785
البطانيه وصلت مقطعه!! وش هالزفت!! ابغى ارجاع!!,complaint,بطانية شتوية,7201
تأخير غير مبرر!! صار لي اسبوع انتظر!! خدمه زفت!!,complaint,بطانية شتوية,7201
تعامل سيء!! محد يرد علي!! واتساب مقفل!! وين بتروحون؟!,complaint,بطانية شتوية,7201
منتج فاشل!! البطانيه الشتويه تمزقت من اول استخدام!! فلوسي راحت ع الفاضي!!,complaint,بطانية شتوية,7201
الطلبه ناقصه!! والجوده خايسه!! حسبي الله عليكم!!,complaint,بطانية شتوية,7201
الكرسي وصل مكسور!! وش هالخدمة الزفته! ابي حل بسرعه,complaint,كرسي مكتب,5803
انتوا تستهبلون؟! طلبي متأخر اسبوعين!! والكرسي للحين ما وصل. هذا مو تأخير هذا اهمال,complaint,كرسي مكتب,5803
خدمتكم سيئه!! من يوم طلبت وانا انتظر. مافيه رد مافيه شي. زهقت,complaint,كرسي مكتب,5803
الكرسي اللي جاني مخرب!! العجلات مكسوره والمسند مقطوع. حسبي الله عليكم. ابي استرجاع فلوسي حالا,complaint,كرسي مكتب,5803
ليش محد يرد على الواتساب؟! طلبت كرسي مكتب من اسبوع والى الان مافي اي تحديث!! حرام عليكم والله,complaint,كرسي مكتب,5803
السلام عليكم ورحمة الله، الاخوه الكرام انا طلبت من عندكم طاوله قهوه ووصلتني بعد انتضار طويل والله، ولقيتها فيها كسر بالطرف من الجهه اليمنى، هذا مو اللي اتوقعته من متجر معروف مثلكم، اتمنى تنظرون في امري بارك الله فيكم,complaint,طاولة قهوة,6925
