text,text_normalized,category
ليش ما تردون على الواتس !؟ ارسلت لكم من امس ! ابي شنطة ظهر بس ابغى اعرف السعر ! بسرعه !,ليش ما تردون علي الواتس !؟ ارسلت لكم من امس ! ابي شنطه ظهر بس ابغي اعرف السعر ! بسرعه !,other
مساء الخير 🌙 بس عندي سوال، توصلون للرياض؟ وكم ياخذ التوصيل تقريبا 🚚 وهل فيه رسوم اضافيه عالشحن,مساء الخير 🌙 بس عندي سوال، توصلون للرياض؟ وكم ياخذ التوصيل تقريبا 🚚 وهل فيه رسوم اضافيه عالشحن,other
السلام عليكم لو سمحت ابغى اعرف وين وصل الاوردر حقي، الشنطه متأخره مره والـ delivery المفروض كان امس,السلام عليكم لو سمحت ابغي اعرف وين وصل الاوردر حقي، الشنطه متاخره مره والـ delivery المفروض كان امس,order_inquiry
لو سمحت الorder نمبر حقي ما يفتح معي في الموقع، ممكن تتاكدون لي وين وصل الطلب واذا فيه tracking اعطوني اياه,لو سمحت الorder نمبر حقي ما يفتح معي في الموقع، ممكن تتاكدون لي وين وصل الطلب واذا فيه tracking اعطوني اياه,order_inquiry
السلام عليكم، ابغى اعرف سياسة الاستبدال عندكم، لو المقاس ما ناسبني ارده ولا لا؟ وكم المده المسموحه للارجاع 🕐 وشكرا مقدما,السلام عليكم، ابغي اعرف سياسه الاستبدال عندكم، لو المقاس ما ناسبني ارده ولا لا؟ وكم المده المسموحه للارجاع 🕐 وشكرا مقدما,other
"الله يعطيكم العافيه ياولدي
وصلني الطلب امس والمكواه البخار ممتازه صراحه، زوجتي فرحت بها كثير، اشكركم من كل قلبي وما قصرتوا معنا",الله يعطيكم العافيه ياولدي وصلني الطلب امس والمكواه البخار ممتازه صراحه، زوجتي فرحت بها كثير، اشكركم من كل قلبي وما قصرتوا معنا,other
هلا وش صار على الorder حقي؟ متى بيوصل طاولة القهوة؟,هلا وش صار علي الorder حقي؟ متي بيوصل طاوله القهوه؟,order_inquiry
"مساكم الله بالخير جميعاً
ابغى اوضح لكم تجربتي مع طلبية الكرسي المكتبي الي طلبته قبل اسبوعين تقريباً، للاسف الشديد وصل متاخر عن الموعد المتفق عليه بخمسه ايام، وهذا اربكني لاني كنت محتاجه بالدوام وكنت متوقع يوصل بوقته
وحتى بعد ما وصل، ما احد كلف نفسه يكلمني او يعتذر عن التاخير، انا ما اطالب بشي كثير بس حبيت انبهكم ان الوضع كان مزعج صراحه
وان شاء الله القى منكم تفهم وتعاون، ودمتم بود",مساكم الله بالخير جميعا ابغي اوضح لكم تجربتي مع طلبيه الكرسي المكتبي الي طلبته قبل اسبوعين تقريبا، للاسف الشديد وصل متاخر عن الموعد المتفق عليه بخمسه ايام، وهذا اربكني لاني كنت محتاجه بالدوام وكنت متوقع يوصل بوقته وحتي بعد ما وصل، ما احد كلف نفسه يكلمني او يعتذر عن التاخير، انا ما اطالب بشي كثير بس حبيت انبهكم ان الوضع كان مزعج صراحه وان شاء الله القي منكم تفهم وتعاون، ودمتم بود,complaint
يا جماعه الخير. انا عميل قديم عندكم ودايم اشتري منكم. بس هالمره صراحة زعلتوني. الطاوله اللي جابتولي مو نفس الجوده اللي كنت اتوقعها. الخشب رديء والصناعه مو نظيفه. وحتى لما كلمتكم ما احد اهتم. انا ما ابي الا حقي وسمعتي عند الناس.,يا جماعه الخير. انا عميل قديم عندكم ودايم اشتري منكم. بس هالمره صراحه زعلتوني. الطاوله اللي جابتولي مو نفس الجوده اللي كنت اتوقعها. الخشب رديء والصناعه مو نظيفه. وحتي لما كلمتكم ما احد اهتم. انا ما ابي الا حقي وسمعتي عند الناس.,complaint
"مساء الخير، أتمنى تكونوا بخير.
للأسف تجربتي مع خدمتكم ما كانت جيده أبداً.
طلبت من عندكم قبل أسبوعين ومحد رد علي ولا حتى رسالة تأكيد.
لما حاولت أتواصل مع خدمة العملاء، انتظرت أكثر من ٤٠ دقيقه على التلفون وبعدين قطعوا الخط.
وأنا ما زلت أنتظر الطلب.
صراحه تفاجأت لأني سمعت عنكم كلام طيب.
أتمنى تتأكدوا من الوضع لأني محتاج الطلب.",مساء الخير، اتمني تكونوا بخير. للاسف تجربتي مع خدمتكم ما كانت جيده ابدا. طلبت من عندكم قبل اسبوعين ومحد رد علي ولا حتي رساله تاكيد. لما حاولت اتواصل مع خدمه العملاء، انتظرت اكثر من 40 دقيقه علي التلفون وبعدين قطعوا الخط. وانا ما زلت انتظر الطلب. صراحه تفاجات لاني سمعت عنكم كلام طيب. اتمني تتاكدوا من الوضع لاني محتاج الطلب.,complaint
اخي المسؤول المحترم، لي طلبيه عندكم من فتره والحقيقه ماني عارف وضعها هل هي في الطريق او تأخرت علينا. رقم الطلب ماعندي الحين بس الاسم واضح عندكم. لو تكرمت ابلغني بموعد الوصول وان كان فيها مشكله خبروني حتى ارتاح. شاكر لك تعاونك ياطيب,اخي المسؤول المحترم، لي طلبيه عندكم من فتره والحقيقه ماني عارف وضعها هل هي في الطريق او تاخرت علينا. رقم الطلب ماعندي الحين بس الاسم واضح عندكم. لو تكرمت ابلغني بموعد الوصول وان كان فيها مشكله خبروني حتي ارتاح. شاكر لك تعاونك ياطيب,order_inquiry
اخر تحديث لطلبي متى يوصل؟,اخر تحديث لطلبي متي يوصل؟,order_inquiry
السلام عليكم ورحمة الله وبركاته، عساكم بخير وعافيه يارب. انا جديد عندكم بالمتجر وصراحه تصفحت كم غرض وعجبني اسلوبكم بالتعامل، وحبيت اسلم عليكم واسال اذا عندكم توصيل لكل المناطق ولا بس لمدن معينه؟ واذا فيه حد ادنى للطلب؟ اعذروني ع الاطاله وشكرا لكم من القلب,السلام عليكم ورحمه الله وبركاته، عساكم بخير وعافيه يارب. انا جديد عندكم بالمتجر وصراحه تصفحت كم غرض وعجبني اسلوبكم بالتعامل، وحبيت اسلم عليكم واسال اذا عندكم توصيل لكل المناطق ولا بس لمدن معينه؟ واذا فيه حد ادني للطلب؟ اعذروني ع الاطاله وشكرا لكم من القلب,other
هلا بالغالي، انا طالب مكنسه كهربائيه منكم ومكتوب قيد الشحن من يومين… متى تتوقعون توصل لجده؟ 🙏📦,هلا بالغالي، انا طالب مكنسه كهربائيه منكم ومكتوب قيد الشحن من يومين… متي تتوقعون توصل لجده؟ 🙏📦,order_inquiry
هلا اخوي، ابغى ارجع طقم المطبخ اللي طلبته 😔 وصلني وفيه كسر بالغطا والصينيه مخدوشه، ما اقدر استخدمه كذا. اقدر ابدله ولا كيف الطريقه؟ 🙏,هلا اخوي، ابغي ارجع طقم المطبخ اللي طلبته 😔 وصلني وفيه كسر بالغطا والصينيه مخدوشه، ما اقدر استخدمه كذا. اقدر ابدله ولا كيف الطريقه؟ 🙏,return_request
الشنطه وصلت مقطعه من تحت ومحد رد علي,الشنطه وصلت مقطعه من تحت ومحد رد علي,complaint
هلا والله، شكرا لكم ع التعامل الراقي والصراحه ارتحت لكم مره، الله يعطيكم العافيه 🌸,هلا والله، شكرا لكم ع التعامل الراقي والصراحه ارتحت لكم مره، الله يعطيكم العافيه 🌸,other
جزاكم الله خير يا اولادي، وصلني الطلب امس والحمدلله كل شي تمام، التعامل راقي والخدمه نظيفه وانا من زمان ما تعاملت مع احد بهالاخلاق، الله يعطيكم العافيه ويكثر من امثالكم,جزاكم الله خير يا اولادي، وصلني الطلب امس والحمدلله كل شي تمام، التعامل راقي والخدمه نظيفه وانا من زمان ما تعاملت مع احد بهالاخلاق، الله يعطيكم العافيه ويكثر من امثالكم,other
"السلام عليكم
المشكلة ان الشاحن ما يشحن جوالي زين 😅 يوصل ٤٠٪ ويوقف
ابغى ابدله بواحد ثاني او رجعوا لي فلوسي 🙏",السلام عليكم المشكله ان الشاحن ما يشحن جوالي زين 😅 يوصل 40٪ ويوقف ابغي ابدله بواحد ثاني او رجعوا لي فلوسي 🙏,return_request
"السلام عليكم ورحمة الله وبركاته
اخي الكريم اتمنا تكون بخير
اريد استفسر عن طلبي رقم ١٢٣٤٥ الله يجزاك خير وهو شاحن سريع متى يوصل تقريبا
لاني مستعجل عليه شوي
وشكرا لكم",السلام عليكم ورحمه الله وبركاته اخي الكريم اتمنا تكون بخير اريد استفسر عن طلبي رقم 12345 الله يجزاك خير وهو شاحن سريع متي يوصل تقريبا لاني مستعجل عليه شوي وشكرا لكم,order_inquiry
السلام عليكم، لو سمحتوا انا مستعجل!! ابغى استبدل الساعه الذكيه فيها عيب مصنعي!! ردوا بسرعه!!,السلام عليكم، لو سمحتوا انا مستعجل!! ابغي استبدل الساعه الذكيه فيها عيب مصنعي!! ردوا بسرعه!!,return_request
"السلام عليكم ورحمه الله
لو سمحت ابغى اعرف وين وصل طلبي رقم ١٠٢٤٥
تاخر علي كثير والله 💔 مكتوب لي من يومين انه خرج من المستودع وبعدها مافي اي تحديث",السلام عليكم ورحمه الله لو سمحت ابغي اعرف وين وصل طلبي رقم 10245 تاخر علي كثير والله 💔 مكتوب لي من يومين انه خرج من المستودع وبعدها مافي اي تحديث,order_inquiry
السلام عليكم، عندي سوال لو تكرمتوا 🤔 اذا وصلني المنتج وماعجبني اقدر ارجعه؟ وكم مده الاسترجاع؟,السلام عليكم، عندي سوال لو تكرمتوا 🤔 اذا وصلني المنتج وماعجبني اقدر ارجعه؟ وكم مده الاسترجاع؟,other
يا جماعه الخير، كرسي المكتب الي طلبته مو زي الوصف 😒 صغير مره وما يتحمل. ابغى ارجعه، تكفون ساعدوني 🙏😢,يا جماعه الخير، كرسي المكتب الي طلبته مو زي الوصف 😒 صغير مره وما يتحمل. ابغي ارجعه، تكفون ساعدوني 🙏😢,return_request
النظاره وصلت خربانه والعدسه مخربطه ! ابي ارجعها اليوم قبل بكرا ! وين رقم التوصيل ؟!,النظاره وصلت خربانه والعدسه مخربطه ! ابي ارجعها اليوم قبل بكرا ! وين رقم التوصيل ؟!,return_request
تجربه زفت بمعنى الكلمه، الشوز مقاسه غلط وريحته كيماويات مو طبيعيه، راسلت الدعم مرتين ولا في اي رد، الorder صار له شهر وانا لسا انتظر وع بالي يخلص هالموضوع,تجربه زفت بمعني الكلمه، الشوز مقاسه غلط وريحته كيماويات مو طبيعيه، راسلت الدعم مرتين ولا في اي رد، الorder صار له شهر وانا لسا انتظر وع بالي يخلص هالموضوع,complaint
ملل تأخير ومو معقول هذا الوضع,ملل تاخير ومو معقول هذا الوضع,complaint
"الى متى الانتضار؟!
طلبي ما تحرك من اسبوع!
ابغى موعد وصول عطر الرجال بالضبط!
لا تقولون لي بعد ايام!!",الي متي الانتضار؟! طلبي ما تحرك من اسبوع! ابغي موعد وصول عطر الرجال بالضبط! لا تقولون لي بعد ايام!!,order_inquiry
هاي، الطاوله وصلت فيها خدش واضح من الجنب، ما اقدر اقبلها كذا. ابغى استبدلها بوحده ثانيه او رجّعو الفلوس. الـ order رقمه عندي جاهز اذا تبغونه,هاي، الطاوله وصلت فيها خدش واضح من الجنب، ما اقدر اقبلها كذا. ابغي استبدلها بوحده ثانيه او رجعو الفلوس. الـ order رقمه عندي جاهز اذا تبغونه,return_request
السلام عليكم ورحمه الله كيفكم,السلام عليكم ورحمه الله كيفكم,other
اخوي انا طلبت بطانيه شتويه وجتني مخيطه من الطرف ومفتوحه، والقماش خفيف مو زي ماوصفتو بالموقع. ابي ارجعها واسترجع فلوسي كاش، ماابغا استبدال ولا شي، علمني ايش اسوي بالضبط ووين اوديها,اخوي انا طلبت بطانيه شتويه وجتني مخيطه من الطرف ومفتوحه، والقماش خفيف مو زي ماوصفتو بالموقع. ابي ارجعها واسترجع فلوسي كاش، ماابغا استبدال ولا شي، علمني ايش اسوي بالضبط ووين اوديها,return_request
مساء النور 🌙 طلبي صار له ٥ ايام ومتحرك من مكانه، ياليت تشوفون لي وش صار عليه 🙏 تكفون,مساء النور 🌙 طلبي صار له 5 ايام ومتحرك من مكانه، ياليت تشوفون لي وش صار عليه 🙏 تكفون,order_inquiry
يعطيكم الف عافيه على سرعه ردكم وعلى حسن تعاملكم معاي، صراحه تعاملت مع كذا متجر قبل بس تعاملكم مختلف الله يبارك لكم، وانشالله قريب بطلب منكم وبرشحكم لصحابي كلهم,يعطيكم الف عافيه علي سرعه ردكم وعلي حسن تعاملكم معاي، صراحه تعاملت مع كذا متجر قبل بس تعاملكم مختلف الله يبارك لكم، وانشالله قريب بطلب منكم وبرشحكم لصحابي كلهم,other
النظاره وصلت مكسوره وش هالحاله,النظاره وصلت مكسوره وش هالحاله,complaint
عندي سؤال لو تكرمتوا، اذا وصلني الطلب وما عجبني او ما ناسب المقاس، هل استطيع ارجاعه واستبداله؟ وكم تعطوني مده؟ لاني كبير بالسن وماني عارف نظامكم زين,عندي سؤال لو تكرمتوا، اذا وصلني الطلب وما عجبني او ما ناسب المقاس، هل استطيع ارجاعه واستبداله؟ وكم تعطوني مده؟ لاني كبير بالسن وماني عارف نظامكم زين,other
طاب مسائكم اخواني، لو تكرمتو عندي استفسار بسيط، انا رجل كبير بالسن وما افهم بالاجهزه هذي زين، ابغى اشتري ساعه ذكيه هديه لولدي بس ماادري تنفع له ولا الاحسن شي ثاني؟ وكم اسعارها عندكم اذا سمحتو,طاب مسائكم اخواني، لو تكرمتو عندي استفسار بسيط، انا رجل كبير بالسن وما افهم بالاجهزه هذي زين، ابغي اشتري ساعه ذكيه هديه لولدي بس ماادري تنفع له ولا الاحسن شي ثاني؟ وكم اسعارها عندكم اذا سمحتو,other
"شفتو طلبي ولا لا ؟!
الشنتة من ثلاث ايام عالقه عندكم وانا انتظر !! متى تنزل من المستودع ؟!",شفتو طلبي ولا لا ؟! الشنته من ثلاث ايام عالقه عندكم وانا انتظر !! متي تنزل من المستودع ؟!,order_inquiry
وصلني الطلب ناقص والمكواه فيها عيب مصنعي,وصلني الطلب ناقص والمكواه فيها عيب مصنعي,complaint
يا اخوان انا مو فاهم ليش الـ delivery عندكم كذا. المفروض توصل الشحنه خلال ٣ ايام و الحين صار لها ١٠ ايام و لا حس و لا خبر. و الجوال سامسونج اللي طلبته الحين شكلي بنساه. والله لو ادري انكم كذا ما طلبت منكم.,يا اخوان انا مو فاهم ليش الـ delivery عندكم كذا. المفروض توصل الشحنه خلال 3 ايام و الحين صار لها 10 ايام و لا حس و لا خبر. و الجوال سامسونج اللي طلبته الحين شكلي بنساه. والله لو ادري انكم كذا ما طلبت منكم.,complaint
شكرا تعاملتوا زين معي,شكرا تعاملتوا زين معي,other
هلا اخوي متى توصل البطانيه الشتويه 🙏 طلبتها من ٥ ايام ولسى ماشفت شي 😅,هلا اخوي متي توصل البطانيه الشتويه 🙏 طلبتها من 5 ايام ولسي ماشفت شي 😅,order_inquiry
مشكورين ع الخدمه,مشكورين ع الخدمه,other
ابشركم ان تجربتي معكم فاشله بكل معنى الكلمه 😅 طلبت سماعه بلوتوث ورديئه من ناحية الصوت والمايك ما يشتغل والبطاريه تخلص بسرعه 🙄 راسلتهم اكثر من مره ولا احد رد علي حسبي الله عليكم,ابشركم ان تجربتي معكم فاشله بكل معني الكلمه 😅 طلبت سماعه بلوتوث ورديئه من ناحيه الصوت والمايك ما يشتغل والبطاريه تخلص بسرعه 🙄 راسلتهم اكثر من مره ولا احد رد علي حسبي الله عليكم,complaint
السلام عليكم، ارجو انكم بصحه وعافيه. انا عميل عندكم من فتره ودايما اتعامل معاكم بصراحه، وهاي اول مره تصير لي هالحاله. طلبت لابتوب ديل موديل ٥٥٢٠ يوم الخميس الماضي، ودفعت المبلغ كامل بالبطاقه، ووصلني بس تأكيد الطلب ولا وصلني رقم تتبع ولا اي رساله بعدها. حاولت اتواصل مع خدمه العملاء كذا مره بس ما حصلت رد. لو تكرمتو تعطوني معلومه واضحه: الطلب وين وصل؟ ومتى بيوصل للعنوان اللي سجلته؟ وجزاكم الله خير على جهودكم,السلام عليكم، ارجو انكم بصحه وعافيه. انا عميل عندكم من فتره ودايما اتعامل معاكم بصراحه، وهاي اول مره تصير لي هالحاله. طلبت لابتوب ديل موديل 5520 يوم الخميس الماضي، ودفعت المبلغ كامل بالبطاقه، ووصلني بس تاكيد الطلب ولا وصلني رقم تتبع ولا اي رساله بعدها. حاولت اتواصل مع خدمه العملاء كذا مره بس ما حصلت رد. لو تكرمتو تعطوني معلومه واضحه: الطلب وين وصل؟ ومتي بيوصل للعنوان اللي سجلته؟ وجزاكم الله خير علي جهودكم,order_inquiry
خدمتكم سيئه سيئه سيئه!! رحت الفرع وانا مستعجل قالولي انتظر نص ساعه!! نص ساعه على وش,خدمتكم سيئه سيئه سيئه!! رحت الفرع وانا مستعجل قالولي انتظر نص ساعه!! نص ساعه علي وش,complaint
هذي ثاني مره اطلب منكم وتتكرر نفس المشكله. الشنطه الظهر وصلت مبهدله وفيها بقع وريحه غريبه، والكرتون كان مفتوح بعد. المبلغ ما هو كثير بس المبدأ مهم عندي، اتمنا احد ياخذ الموضوع بجديه ويعتذر على الاقل.,هذي ثاني مره اطلب منكم وتتكرر نفس المشكله. الشنطه الظهر وصلت مبهدله وفيها بقع وريحه غريبه، والكرتون كان مفتوح بعد. المبلغ ما هو كثير بس المبدا مهم عندي، اتمنا احد ياخذ الموضوع بجديه ويعتذر علي الاقل.,complaint
المكنسه وصلت مكسوره !! ابغا ارجعها الحين !! ليش محد يرد عليكم,المكنسه وصلت مكسوره !! ابغا ارجعها الحين !! ليش محد يرد عليكم,return_request
هلا والله، اسف ع الازعاج بس حبيت اسال عن وضع الطلب حقي اذا ممكن. طلبت شاحن سريع من عندكم يوم الخميس الماضي والى الان ما وصلني اي رساله انه خرج للتوصيل. انا مو مستعجل مره بس حاب اعرف اذا فيه تاخير او شي، واذا فيه مشكله ف اوردر ياليت تفهموني عشان ارتب اموري. شاكر لكم تعاونكم والله يوفقكم,هلا والله، اسف ع الازعاج بس حبيت اسال عن وضع الطلب حقي اذا ممكن. طلبت شاحن سريع من عندكم يوم الخميس الماضي والي الان ما وصلني اي رساله انه خرج للتوصيل. انا مو مستعجل مره بس حاب اعرف اذا فيه تاخير او شي، واذا فيه مشكله ف اوردر ياليت تفهموني عشان ارتب اموري. شاكر لكم تعاونكم والله يوفقكم,order_inquiry
هلا متى يفتح الفرع؟ ابغى اشوف المكواه البخار بعيني قبل اشتريها. جاوبوني بسرعه لو سمحتوا!,هلا متي يفتح الفرع؟ ابغي اشوف المكواه البخار بعيني قبل اشتريها. جاوبوني بسرعه لو سمحتوا!,other
السلام عليكم ورحمة الله وبركاته 🌙 عندي سؤال بسيط، انتو تشحنون لكل المدن؟ وكم ياخذ التوصيل تقريبا؟ لاني ناوي اطلب طاولة قهوة بس خايف تتاخر 😅,السلام عليكم ورحمه الله وبركاته 🌙 عندي سؤال بسيط، انتو تشحنون لكل المدن؟ وكم ياخذ التوصيل تقريبا؟ لاني ناوي اطلب طاوله قهوه بس خايف تتاخر 😅,other
تحيه طيبه وبعد، انا من عملائكم القدامى من فتره طويله والصراحه ما اعرف اطلب من الجوال زين ولا اعرف اتابع الصفحه، فحبيت اسال هل لكم فرع قريب من سوقنا القديم؟ وان كان لا، هل فيه احد يقدر يساعدني بالطلب عن طريق الواتس نفسو؟ وشكرا لكم مقدما,تحيه طيبه وبعد، انا من عملائكم القدامي من فتره طويله والصراحه ما اعرف اطلب من الجوال زين ولا اعرف اتابع الصفحه، فحبيت اسال هل لكم فرع قريب من سوقنا القديم؟ وان كان لا، هل فيه احد يقدر يساعدني بالطلب عن طريق الواتس نفسو؟ وشكرا لكم مقدما,other
من يوم سويت ال order وانتو تخلوني الف وادور على حد يرد علي، واذا رد احد نفس الجواب المكرر كل مره. شهر كامل وانا اتابع ومافي فايده، صراحه تجربه ما انصح فيها احد ابد,من يوم سويت ال order وانتو تخلوني الف وادور علي حد يرد علي، واذا رد احد نفس الجواب المكرر كل مره. شهر كامل وانا اتابع ومافي فايده، صراحه تجربه ما انصح فيها احد ابد,complaint
السلام عليكم، عندي طلب ارجاع بخصوص الشنطه، وصلتني فيها خياطه مفتوحه من تحت وما اقدر استخدمها كذا، ارجو الاستبدال او الارجاع وفقكم الله,السلام عليكم، عندي طلب ارجاع بخصوص الشنطه، وصلتني فيها خياطه مفتوحه من تحت وما اقدر استخدمها كذا، ارجو الاستبدال او الارجاع وفقكم الله,return_request
جوال سامسونج اللي ب ١٥٠٠ هذا اصلي ولا تقليد؟,جوال سامسونج اللي ب 1500 هذا اصلي ولا تقليد؟,other
السلام عليكم، عندي طلب ارجاع للابتوب ديل اللي استلمته، والسبب ان بعض المفاتيح ما تطبع اذا ضغطت عليها. انا ما ودي مشاكل ولا قصه طويله، بس ابي حقي، ياليت توضحون لي طريقه الارجاع وكم يوم تاخذ العمليه، وجزاكم الله خير.,السلام عليكم، عندي طلب ارجاع للابتوب ديل اللي استلمته، والسبب ان بعض المفاتيح ما تطبع اذا ضغطت عليها. انا ما ودي مشاكل ولا قصه طويله، بس ابي حقي، ياليت توضحون لي طريقه الارجاع وكم يوم تاخذ العمليه، وجزاكم الله خير.,return_request
